NAME,median_household_income,per_capita_income,population_below_poverty_level,total_population_for_poverty_status,civilian_labor_force,unemployed,employed,bachelor's_degree,master's_degree,professional_degree,doctorate_degree,total_population_25+,median_home_value,median_gross_rent,owner-occupied_housing_units,renter-occupied_housing_units,state,county,tract
Census Tract 2611; Baltimore city; Maryland,151771,74942.0,87,2175,1758,16,1742,819,474,41,133,1801,372000,2132,645,342,24,510,261100
Census Tract 2701.01; Baltimore city; Maryland,92237,40912.0,200,1453,748,42,706,383,202,50,31,1108,248900,1961,467,75,24,510,270101
Census Tract 2701.02; Baltimore city; Maryland,54604,31452.0,702,3309,1737,66,1671,576,180,28,9,2491,193800,1407,1122,242,24,510,270102
Census Tract 2702; Baltimore city; Maryland,102543,55297.0,109,1679,1037,40,997,395,271,33,106,1340,266800,971,608,129,24,510,270200
Census Tract 2703.01; Baltimore city; Maryland,84519,35519.0,347,3334,1549,115,1434,530,448,44,81,2328,268800,1668,1051,166,24,510,270301
Census Tract 2703.02; Baltimore city; Maryland,71548,36935.0,240,1752,873,57,816,203,135,14,23,1242,213300,1328,518,200,24,510,270302
Census Tract 2704.01; Baltimore city; Maryland,78711,39322.0,696,4841,2916,181,2735,536,206,8,24,3586,211600,1146,1301,533,24,510,270401
Census Tract 2704.02; Baltimore city; Maryland,92841,33190.0,267,3772,1828,139,1689,580,359,0,56,2432,229400,1393,1042,163,24,510,270402
Census Tract 2705.01; Baltimore city; Maryland,77204,41203.0,246,4110,2154,0,2154,460,324,71,37,2887,208000,1650,1365,299,24,510,270501
Census Tract 2705.02; Baltimore city; Maryland,86905,44141.0,321,3857,2142,79,2063,416,544,12,117,3010,217000,1276,1228,386,24,510,270502
Census Tract 2706; Baltimore city; Maryland,80570,35730.0,299,4491,2668,245,2423,498,524,71,64,3545,217700,1180,1456,330,24,510,270600
Census Tract 2707.01; Baltimore city; Maryland,55671,29567.0,257,2354,1544,0,1544,349,76,18,0,1769,-666666666,1221,0,1041,24,510,270701
Census Tract 2707.02; Baltimore city; Maryland,67011,35184.0,147,2278,1391,99,1292,270,231,0,16,1678,218000,1172,416,627,24,510,270702
Census Tract 2707.03; Baltimore city; Maryland,118454,48664.0,194,3318,1836,52,1784,648,369,45,72,2398,229600,1100,1011,352,24,510,270703
Census Tract 2708.01; Baltimore city; Maryland,61875,31643.0,246,3484,1852,100,1752,488,246,23,54,2302,164400,1675,1001,308,24,510,270801
Census Tract 2708.02; Baltimore city; Maryland,55929,28123.0,1044,5773,2878,188,2690,292,370,53,93,3809,156800,1122,1396,1071,24,510,270802
Census Tract 2708.03; Baltimore city; Maryland,50529,46029.0,587,5740,2865,228,2637,728,315,1,37,4433,178900,1165,1223,1508,24,510,270803
Census Tract 2708.04; Baltimore city; Maryland,54617,46385.0,435,2630,1601,49,1552,479,316,87,29,1979,250700,1024,534,831,24,510,270804
Census Tract 2708.05; Baltimore city; Maryland,65571,30602.0,424,5661,3207,100,3107,503,225,67,132,4134,151900,1199,1418,520,24,510,270805
Census Tract 2709.01; Baltimore city; Maryland,59142,45317.0,412,3794,2131,100,2031,114,278,14,17,2723,166200,1338,854,868,24,510,270901
Census Tract 2709.02; Baltimore city; Maryland,70119,29522.0,239,3190,1907,134,1773,421,362,0,43,2315,175000,1908,1006,262,24,510,270902
Census Tract 2709.03; Baltimore city; Maryland,62250,29859.0,348,2813,2600,312,2288,378,390,147,39,2146,212700,1215,821,449,24,510,270903
Census Tract 2710.01; Baltimore city; Maryland,40050,26082.0,714,2300,1087,132,955,131,94,16,0,1563,175900,1071,281,640,24,510,271001
Census Tract 2710.02; Baltimore city; Maryland,59625,23060.0,661,3682,1608,326,1282,222,185,10,29,2517,153500,1338,904,528,24,510,271002
Census Tract 2711.01; Baltimore city; Maryland,58583,35790.0,419,1909,1090,141,949,220,303,80,101,1342,226400,924,467,418,24,510,271101
Census Tract 2711.02; Baltimore city; Maryland,229743,43304.0,15,1309,2080,232,1848,254,267,130,176,991,811300,1205,479,18,24,510,271102
Census Tract 2712; Baltimore city; Maryland,206680,85153.0,135,6219,3319,86,3233,1121,1254,535,375,4316,570900,1662,1768,354,24,510,271200
Census Tract 2713; Baltimore city; Maryland,163667,84834.0,133,2895,1601,48,1553,631,532,229,160,1873,636900,1808,719,403,24,510,271300
Census Tract 2714; Baltimore city; Maryland,149844,86376.0,204,3843,2015,60,1955,795,722,260,449,2571,466500,1690,1205,307,24,510,271400
Census Tract 2715.01; Baltimore city; Maryland,113403,70275.0,362,4363,2254,35,2219,713,858,541,182,3131,464200,1509,1146,631,24,510,271501
Census Tract 2715.03; Baltimore city; Maryland,71875,79498.0,45,935,417,0,417,199,266,74,38,837,187000,1361,538,101,24,510,271503
Census Tract 2716; Baltimore city; Maryland,44303,18232.0,1029,3791,1570,112,1458,166,184,0,70,2398,150400,1153,531,836,24,510,271600
Census Tract 2717; Baltimore city; Maryland,47821,31563.0,905,4278,2068,108,1960,291,141,95,36,3220,141500,1080,918,824,24,510,271700
Census Tract 2718.01; Baltimore city; Maryland,20417,19307.0,858,2225,803,67,736,71,18,0,0,1581,95800,569,464,616,24,510,271801
Census Tract 2718.02; Baltimore city; Maryland,45848,30676.0,645,2299,1025,63,962,173,24,7,0,1538,114800,1285,376,440,24,510,271802
Census Tract 2719; Baltimore city; Maryland,62247,43412.0,342,3150,1670,201,1469,483,321,108,38,2493,235700,1069,995,423,24,510,271900
Census Tract 2720.03; Baltimore city; Maryland,71584,33153.0,454,6310,2922,212,2710,880,520,279,34,3633,372700,1460,1140,989,24,510,272003
Census Tract 2720.04; Baltimore city; Maryland,72558,43000.0,254,4113,1977,33,1944,708,527,186,54,2830,210600,1466,713,1061,24,510,272004
Census Tract 2720.05; Baltimore city; Maryland,71451,49879.0,258,3215,1522,143,1379,487,435,167,92,2038,335500,1627,723,516,24,510,272005
Census Tract 2720.06; Baltimore city; Maryland,41394,28137.0,659,3786,1594,83,1511,376,283,35,34,2434,166300,1008,551,1042,24,510,272006
Census Tract 2720.07; Baltimore city; Maryland,57353,26530.0,822,3673,1741,105,1636,490,355,13,28,2451,179200,1391,537,1001,24,510,272007
Census Tract 2801.01; Baltimore city; Maryland,52500,27552.0,559,3059,1669,137,1532,330,213,25,0,1931,129000,1604,723,453,24,510,280101
